Investiture of Ice	6th	Transmutation		1 action	VS	yes	ee 19, xge 159
Investiture of Stone	6th	Transmutation		1 action	VS	yes	ee 19, xge 159
Investiture of Wind	6th	Transmutation		1 action	VS	yes	ee 20, xge 160
Move Earth	6th	Transmutation		1 action	VSM	yes	phb 263
Primordial Ward	6th	Abjuration		1 action	VS	yes	ee 21, xge 163
Sunbeam	6th	Evocation		1 action	VSM	yes	phb 279
Transport via Plants	6th	Conjuration		1 action	VS		phb 283
Wall of Thorns	6th	Conjuration		1 action	VSM	yes	phb 287
Wind Walk	6th	Transmutation		1 minute	VSM		phb 288
Fire Storm	7th	Evocation		1 action	VS		phb 242
Mirage Arcane	7th	Illusion		10 minutes	VS		phb 260
Plane Shift	7th	Conjuration		1 action	VSMgp		phb 266
Regenerate	7th	Transmutation		1 minute	VSM		phb 271
Reverse Gravity	7th	Transmutation		1 action	VSM	yes	phb 272
Whirlwind	7th	Evocation		1 action	VM	yes	ee 24, xge 171
Animal Shapes	8th	Transmutation		1 action	VS	yes	phb 212
Antipathy/Sympathy	8th	Enchantment		1 hour	VSM		phb 214
Control Weather	8th	Transmutation		10 minutes	VSM	yes	phb 228
Earthquake	8th	Evocation		1 action	VSM	yes	phb 236
Feeblemind	8th	Enchantment		1 action	VSM		phb 239
Sunburst	8th	Evocation		1 action	VSM		phb 279
Tsunami	8th	Conjuration		1 minute	VS	yes	phb 284
Foresight	9th	Divination		1 minute	VSM		phb 244
Shapechange	9th	Transmutation		1 action	VSMgp	yes	phb 274
Storm of Vengeance	9th	Conjuration		1 action	VS	yes	phb 279
True Resurrection	9th	Necromancy		1 hour	VSMgp		phb 284
